symbol,name,sector,subsector,industry,subindustry,board
BIKE,PT Bhineka Inovasi Ketahanan Energi Tbk,Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi,Pengembangan
BIMA,Primarindo Asia Infrastructure Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Alas Kaki,Pemantauan Khusus
BINA,PT Bank Ina Perdana Tbk.,Keuangan,Bank,Bank,Bank,Utama
BINO,PT Perma Plasindo Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,Pengembangan
BIPI,PT Astrindo Nusantara Infrastruktur Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BIRD,PT Blue Bird Tbk,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,Utama
BISI,BISI INTERNATIONAL Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Keuangan,Bank,Bank,Bank,Utama
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,Keuangan,Bank,Bank,Bank,Utama
BKDP,Bukit Darmo Property Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BKSL,Sentul City Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
BKSW,PT Bank QNB Indonesia Tbk,Keuangan,Bank,Bank,Bank,Pengembangan
BLES,PT Superior Prima Sukses Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Pengembangan
BLOG,PT Trimitra Trans Persada Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Utama
BLTA,Berlian Laju Tanker Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pemantauan Khusus
BLTZ,PT Graha Layar Prima Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,Pemantauan Khusus
BLUE,PT Berkah Prima Perkasa Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,Pengembangan
BMAS,PT Bank Kasikorn Indonesia Tbk,Keuangan,Bank,Bank,Bank,Pengembangan
BMBL,PT Lavender Bina Cendikia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pendidikan & Jasa Penunjang,Jasa Pendidikan,Akselerasi
BMHS,PT Bundamedik Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Utama
BMRI,PT Bank Mandiri (Persero) Tbk,Keuangan,Bank,Bank,Bank,Utama
BMSR,Bintang Mitra Semestaraya Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pengembangan
BMTR,PT Global Mediacom Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan,Utama
BNBA,Bank Bumi Arta Tbk,Keuangan,Bank,Bank,Bank,Pengembangan
BNBR,Bakrie & Brothers Tbk,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Pengembangan
BNGA,PT Bank CIMB Niaga Tbk,Keuangan,Bank,Bank,Bank,Utama
BNII,PT Bank Maybank Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BNLI,Bank Permata Tbk,Keuangan,Bank,Bank,Bank,Utama
BOAT,PT Newport Marine Services Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pengembangan
BOBA,PT Formosa Ingredient Factory Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
BOGA,PT Apollo Global Interactive Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,Pengembangan
BOLA,PT Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,Utama
BOLT,PT Garuda Metalindo Tbk.,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Pengembangan
BOSS,PT Borneo Olah Sarana Sukses Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pemantauan Khusus
BPFI,PT Woori Finance Indonesia Tbk,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Pengembangan
BPII,PT Batavia Prosperindo Internasional Tbk.,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Pengembangan
BPTR,PT Batavia Prosperindo Trans Tbk.,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,Pengembangan
BRAM,Indo Kordsa Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban,Pengembangan
BREN,PT Barito Renewables Energy Tbk.,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,Utama
BRIS,PT Bank Syariah Indonesia (Persero) Tbk,Keuangan,Bank,Bank,Bank,Utama
BRMS,Bumi Resources Minerals Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
BRNA,Berlina Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
BRPT,Barito Pacific Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Utama
BRRC,PT Raja Roti Cemerlang Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
BSBK,PT Wulandari Bangun Laksana Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BSDE,PT Bumi Serpong Damai Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
BSIM,Bank Sinarmas Tbk,Keuangan,Bank,Bank,Bank,Utama
BSML,PT Bintang Samudera Mandiri Lines Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
BSSR,Baramulti Suksessarana Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
BSWD,Bank of India Indonesia Tbk,Keuangan,Bank,Bank,Bank,Pemantauan Khusus
BTEK,Bumi Teknokultura Unggul Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pemantauan Khusus
